Line	MessageNo	File Name
0	1	mBPic.exe -DBG -pP16F886 -MSF -Y -DL -O11111114 -fo8 -N"Y:\MAQUETAS I&T\Control Automatico de motor de aeromodelismo Ing. Rubio\motor_brushless\motor.mbppi" -SP"C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"Y:\MAQUETAS I&T\Control Automatico de motor de aeromodelismo Ing. Rubio\motor_brushless\" -SP"D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\Control Automatico de motor de aeromodelismo Ing. Rubio\motor_brushless\" -SP"D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\Ing. Rubio\motor_brushless\" -SP"C:\Documents and Settings\BENAVIDES DURAN\Escritorio\motor_brushless\" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_String.mcl" "__Lib_Conversions.mcl" "__Lib_Time.mcl" "__Lib_Trigon.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "motor.mbas"	 
warning: 0	1501	Specified search path do not exist: 'D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\Control Automatico de motor de aeromodelismo Ing. Rubio\motor_brushless'	 
warning: 0	1501	Specified search path do not exist: 'D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\Ing. Rubio\motor_brushless'	 
warning: 0	1501	Specified search path do not exist: 'C:\Documents and Settings\BENAVIDES DURAN\Escritorio\motor_brushless'	 
diagnostics: 0	154	Available RAM: 352 [bytes], Available ROM: 8192 [bytes]	 
diagnostics: 0	132	Compilation Started	Y:\MAQUETAS I&T\Control Automatico de motor de aeromodelismo Ing. Rubio\motor_brushless\motor.mbas
hint: 1	1015	Hint: Compiling unit "Y:\MAQUETAS I&T\Control Automatico de motor de aeromodelismo Ing. Rubio\motor_brushless\motor.mbas"	motor.mbas
hint: 147	1006	Warning: Generated baud rate is 9615 bps (error = 0.16 percent)	motor.mbas
hint: 181	1010	Hint: Unit "motor.mbas" has been recompiled	motor.mbas
diagnostics: 0	133	Compiled Successfully	Y:\MAQUETAS I&T\Control Automatico de motor de aeromodelismo Ing. Rubio\motor_brushless\motor.mbas
diagnostics: 0	138	All files Compiled in 188 ms	 
hint: 0	1143	Used RAM (bytes): 31 (9%)  Free RAM (bytes): 321 (91%)	Used RAM (bytes): 31 (9%)  Free RAM (bytes): 321 (91%)
hint: 0	1143	Used ROM (program words): 463 (6%)  Free ROM (program words): 7729 (94%)	Used ROM (program words): 463 (6%)  Free ROM (program words): 7729 (94%)
diagnostics: 0	144	Project Linked Successfully	motor.mbppi
diagnostics: 0	139	Linked in 1281 ms	 
diagnostics: 0	140	Project 'motor.mbppi' completed: 1985 ms	 
diagnostics: 0	103	Finished successfully: 26 Oct 2011, 21:48:29	motor.mbppi
