Line	MessageNo	File Name
0	1	mBPic.exe -DBG -pP16F886 -MSF -Y -DL -O11111114 -fo4 -N"D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\Equilibrista yasser\Codigo_PIC\Adquisicion.mbppi" -SP"C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Archivos de programa\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\Equilibrista yasser\Codigo_PIC\" -SP"D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\Equilibrista Jasser\Codigo_PIC\" -SP"D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\Sistema aire cariente\Codigo_PIC\" -SP"D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\Seguidor de solar Final\Codigo_PIC\" -SP"D:\Seguidor de solar 2\Codigo_PIC\" -SP"C:\Documents and Settings\Jorge Luis\Escritorio\Seguidor de solar\Codigo_PIC\" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\defs\" -SP"C:\Program Files\Mikroelektronika\mikroBasic PRO for PIC\Uses\P16\" -SP"C:\Users\IDEASTECHNOLOGY\Desktop\Seguidor de solar\Codigo_PIC\" -SP"C:\Users\IDEASTECHNOLOGY\Desktop\Maqueta Motor DC\Codigo_PIC\" -SP"C:\Users\IDEASTECHNOLOGY\Desktop\Codigo_PIC\" -SP"C:\Documents and Settings\Jorge Luis\Escritorio\Proformas\Proyecto Identificacion de Sistemas Victor Asanza - Xavier Barcia - Jorge Fariño\Codigo_PIC\" -SP"C:\Documents and Settings\Administrador\Escritorio\SISTEMA DE ADQUISICION Y ALMACENAMIENTO DE DATOS CON MATLAB\Codigo PIC Adquisicion\codigo Yasser\" -SP"C:\Documents and Settings\Administrador\Escritorio\SISTEMA DE ADQUISICION Y ALMACENAMIENTO DE DATOS CON MATLAB\Codigo PIC Adquisicion\codigo\" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_String.mcl" "__Lib_Conversions.mcl" "__Lib_Time.mcl" "__Lib_Trigon.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_ADC_88X.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_PWM_c21.mcl" "__Lib_SPI_c345.mcl" "__Lib_UART_c67.mcl" "__Lib_PortExpander.mcl" "__Lib_CANSPI.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "Adquisicion.mbas"	 
diagnostics: 0	132	Compilation Started	C:\ARCHIVOS DE PROGRAMA\MIKROELEKTRONIKA\MIKROBASIC PRO FOR PIC\USES\P16\__Lib_Delays.mbas
hint: 1	1015	Hint: Compiling unit "C:\ARCHIVOS DE PROGRAMA\MIKROELEKTRONIKA\MIKROBASIC PRO FOR PIC\USES\P16\__Lib_Delays.mbas"	__Lib_Delays.mbas
hint: 113	1010	Hint: Unit "__Lib_Delays.mbas" has been recompiled	__Lib_Delays.mbas
diagnostics: 0	133	Compiled Successfully	C:\ARCHIVOS DE PROGRAMA\MIKROELEKTRONIKA\MIKROBASIC PRO FOR PIC\USES\P16\__Lib_Delays.mbas
diagnostics: 0	132	Compilation Started	D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\EQUILIBRISTA YASSER\CODIGO_PIC\Adquisicion.mbas
hint: 1	1015	Hint: Compiling unit "D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\EQUILIBRISTA YASSER\CODIGO_PIC\Adquisicion.mbas"	Adquisicion.mbas
hint: 96	1006	Warning: Generated baud rate is 9615 bps (error = 0.16 percent)	Adquisicion.mbas
hint: 148	1010	Hint: Unit "Adquisicion.mbas" has been recompiled	Adquisicion.mbas
diagnostics: 0	133	Compiled Successfully	D:\IDEAS&TECNOLOGIA\MAQUETAS I&T\EQUILIBRISTA YASSER\CODIGO_PIC\Adquisicion.mbas
diagnostics: 0	138	All files Compiled in 266 ms	 
hint: 0	1141	Used RAM (bytes): 21 (6%)  Free RAM (bytes): 331 (94%)	Used RAM (bytes): 21 (6%)  Free RAM (bytes): 331 (94%)
hint: 0	1141	Used ROM (program words): 701 (9%)  Free ROM (program words): 7491 (91%)	Used ROM (program words): 701 (9%)  Free ROM (program words): 7491 (91%)
diagnostics: 0	142	Project Linked Successfully	ADQUISICION.mbppi
diagnostics: 0	139	Linked in 3297 ms	 
diagnostics: 0	140	Project 'ADQUISICION.mbppi' completed: 5016 ms	 
diagnostics: 0	103	Finished successfully: 27 ene 2011, 02:26:48	Adquisicion.mbppi
